Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0236772540474764,-0.00934200259951041,-0.0165986037183805,0,0,0,0.0828387361665096,8.7959613013092E-05,-2.71603563800111E-05,-8.77888798249191E-06,7.31856334963273E-05,-7.90573865680281E-06,0.000153330489907908,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/base_link.STL,,手套-左-1/DX027-40108-上盖-外壳.1-1;手套-左-1/DX027-40101-手掌底座.1-1;手套-左-1/数采手套-左-1/框架外壳模组-1/DX-V4.02-03-17 开关拨片.1-1;手套-左-1/数采手套-左-1/框架外壳模组-1/DX-V4.02-03-19 导光管-1/DX-V4.02-03-19 导光管.1-1;手套-左-1/DX027-40201-上盖-电池.1-1;手套-左-1/DX027-40203-下盖-电池.1-1;手套-左-1/数采手套-左-1/框架外壳模组-1/DC014-拇指压板-上.1-1,base_c_l,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
glove_link_l_1_1,0.00215756926462478,-0.00307361620540042,-0.0137635228837932,0,0,0,0.004335102570461,3.86979713540004E-07,2.38610436514461E-08,-5.19189209964845E-09,3.57469220893446E-07,-4.88438342146487E-08,4.17221730681291E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_1.STL,,手套-左-1/数采手套-左.1-1/五指模组-1/DX027-40039-外壳-拇指旋转-1;手套-左-1/数采手套-左.1-1/五指模组-1/DX027-40019-拇指旋转-1,c_l_1_1,a_l_1_1,glove_joint_l_1_1,revolute,-0.020715,-0.061876,-0.050557,1.0492,-1.5085,-1.5708,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_1_2,-0.000811940395240632,0.0119585262179304,-0.00262338969952773,0,0,0,0.00176023424582154,1.39653527483724E-07,5.11003330130225E-09,-1.28049508620452E-09,5.5987244198923E-08,2.26425483090362E-08,1.44673988463586E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_2.STL,,手套-左-1/数采手套-左.1-1/五指模组-1/DX027-40002-过渡连接杆-拇指-1,c_l_1_2,a_l_1_2,glove_joint_l_1_2,revolute,0,0,-0.02125,-1.5708,-0.031013,0.054007,glove_link_l_1_1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_1_3,0.0227072280284831,-0.0290581951067787,-0.00302142525865128,0,0,0,0.00602086277164328,1.72761690903248E-06,1.57418149921575E-06,7.04940268381717E-09,1.74095770020026E-06,4.22442129876248E-09,3.37692127480489E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_3.STL,,手套-左-1/数采手套-左.1-1/五指模组-1/DX027-40005-LX1连杆.1-1;手套-左-1/数采手套-左.1-1/五指模组-1/DX027-40029-外壳-LD1.1-1,c_l_1_3,a_l_1_3,glove_joint_l_1_3,revolute,0,0.0185,-0.0047,1.5708,-0.52077,1.5708,glove_link_l_1_2,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_1_4,0.0235914861626084,0.0274164124684767,-0.00364845017029839,0,0,0,0.00578377762307544,2.08577133146645E-06,-1.20896076262883E-06,-5.12775472720454E-10,9.24026124234268E-07,-3.15933089185636E-10,2.92581461985455E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_4.STL,,手套-左-1/数采手套-左.1-1/五指模组-1/DX027-40003-LS2连杆.1-1;手套-左-1/数采手套-左.1-1/五指模组-1/DX027-40030-外壳-LD2.1-1,c_l_1_4,a_l_1_4,glove_joint_l_1_4,revolute,0.049711,-0.049271,0,0,0,0,glove_link_l_1_3,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_1_5,0.00748143341884171,0.0130198891534642,-1.92981580608015E-07,0,0,0,0.00273131652760872,2.54477722637746E-07,-5.60979017173463E-08,3.15779732213671E-12,1.13241004024575E-07,4.29534926218428E-12,2.62657526222072E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_5.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_1_5.STL,,手套-左-1/数采手套-左.1-1/a2-1/DX-V4.02-03-13-03 指尖上卡座上盖.1-1;手套-左-1/数采手套-左.1-1/a2-1/DX-V4.02-03-13-02 指尖上卡座.1-1,c_l_1_5,a_l_1_5,glove_joint_l_1_5,revolute,0.03551,0.054428,0,3.1416,0,1.2829,glove_link_l_1_4,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_2_1,0.012868305934508,-0.000982075972550352,0.0022871298730983,0,0,0,0.00177621372590751,5.45401237515253E-08,6.10204199967229E-09,-2.55326240464439E-08,1.58003667440414E-07,2.24065555756588E-09,1.63283936600237E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_2_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_2_1.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-02 过渡连接杆.3-2,c_l_2_1,a_l_2_1,glove_joint_l_2_1,revolute,0.074852,-0.024382,-0.017,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_2_2,-0.0421253598112525,0.017960604139977,0.00200248362536519,0,0,0,0.00665273143394578,1.55028477542339E-06,2.28429683337577E-06,-2.02631368937365E-09,4.03630971538941E-06,-1.2035214517887E-08,5.50027938364542E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_2_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_2_2.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-05 食指连杆1.2.1.1-1;手套-左-1/数采手套-左-1/五指模组-1-1/盖板2.1.1.1.1-1,c_l_2_2,a_l_2_2,glove_joint_l_2_2,revolute,0.02,0,0.0047,1.5708,1.5708,0,glove_link_l_2_1,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_2_3,0.0361143363665524,0.00441859381783573,0.00283103929967984,0,0,0,0.00532747704693909,1.52290211326907E-07,6.3123728852068E-08,-2.81783609556001E-09,2.78196758480989E-06,2.30015663305659E-09,2.85710639342333E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_2_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_2_3.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-03 食指连杆2.2.1.1.1-1;手套-左-1/数采手套-左-1/五指模组-1-1/盖板.2.1-1,c_l_2_3,a_l_2_3,glove_joint_l_2_3,revolute,-0.073326,0.042996,0.0001,0,0,0,glove_link_l_2_2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_2_4,0.00748144132472766,0.0130199151668656,-1.9855674732866E-07,0,0,0,0.00273132303528154,2.54478311888464E-07,-5.60978858309999E-08,3.14742139468949E-12,1.13241244364377E-07,4.40528148168611E-12,2.62658084583695E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_2_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_2_4.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-13.00 指尖卡座组件.1-1/指尖外壳-1;手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-13.00 指尖卡座组件.1-1/DX-V4.02-03-13-02 指尖上卡座-1,c_l_2_4,a_l_2_4,glove_joint_l_2_4,revolute,0.064976,-0.00029093,-0.0001,0,0,0,glove_link_l_2_3,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_3_1,0.0128683059513702,-0.000982075751611518,0.00228712987309883,0,0,0,0.00177621372590735,5.45401235419935E-08,6.10204022328079E-09,-2.55326240849113E-08,1.58003667649931E-07,2.24065511919176E-09,1.63283936600206E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_3_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_3_1.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-02 过渡连接杆.3-4,c_l_3_1,a_l_3_1,glove_joint_l_3_1,revolute,0.076856,-0.0021271,-0.01675,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_3_2,-0.0427384685823685,0.0244196072481802,0.00200430487812373,0,0,0,0.00691191504209256,2.63807928303234E-06,3.10761105760033E-06,-8.36116615258179E-09,4.22132135430262E-06,-1.00191158364738E-08,6.77451409574765E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_3_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_3_2.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-10 中指连杆1.1.1.1-1;手套-左-1/数采手套-左-1/五指模组-1-1/外壳-LZ1.1-1,c_l_3_2,a_l_3_2,glove_joint_l_3_2,revolute,0.02,0,0.0047,1.5708,1.5708,0,glove_link_l_3_1,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_3_3,0.0361006172630672,0.0045295615066044,0.00283103935391517,0,0,0,0.00532747730108157,1.51920381190085E-07,5.5092218467816E-08,-2.8228931032198E-09,2.78233761576165E-06,2.29312680126647E-09,2.85710659164147E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_3_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_3_3.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/盖板.1.1-1;手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-03 食指连杆2.1.1.1.1-1,c_l_3_3,a_l_3_3,glove_joint_l_3_3,revolute,-0.073077,0.055905,0,0,0,0,glove_link_l_3_2,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_3_4,0.00748144051365195,0.0130199144293045,-1.99786728175E-07,0,0,0,0.00273132231371821,2.54478255255139E-07,-5.60978739822994E-08,3.15588760814887E-12,1.13241226210368E-07,4.42703390903537E-12,2.62658035291915E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_3_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_3_4.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-13.00 指尖卡座组件.2-1/指尖外壳-1;手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-13.00 指尖卡座组件.2-1/DX-V4.02-03-13-02 指尖上卡座-1,c_l_3_4,a_l_3_4,glove_joint_l_3_4,revolute,0.064977,-8.5765E-05,0,0,0,0,glove_link_l_3_3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_4_1,0.0128683059397864,-0.000982075903388811,0.00228712987309848,0,0,0,0.00177621372590748,5.45401236859357E-08,6.10204144359798E-09,-2.55326240584869E-08,1.58003667506004E-07,2.24065542033984E-09,1.6328393660023E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_4_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_4_1.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-02 过渡连接杆.3-3,c_l_4_1,a_l_4_1,glove_joint_l_4_1,revolute,0.072856,0.020125,-0.01675,0,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_4_2,-0.0420141296980259,0.0182222493832231,0.00200248334047794,0,0,0,0.00665273108787229,1.57853622059432E-06,2.29951211212322E-06,-2.09942048880109E-09,4.00805841133689E-06,-1.20164803952442E-08,5.50027952638218E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_4_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_4_2.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-05 食指连杆1.1.1.1.1-1;手套-左-1/数采手套-左-1/五指模组-1-1/外壳-LS1.1.1.1-1,c_l_4_2,a_l_4_2,glove_joint_l_4_2,revolute,0.02,0,0.0047,1.5708,1.5708,0,glove_link_l_4_1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_4_3,0.0359989625630386,0.00527688378198719,0.00283103882272501,0,0,0,0.00532747797778735,1.50770251010973E-07,5.14542345228634E-10,-2.87053825799874E-09,2.78348791900485E-06,2.23352484970927E-09,2.8571067627684E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_4_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_4_3.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/外壳-LS2.1-1;手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-03 食指连杆2.3.1.1-1,c_l_4_3,a_l_4_3,glove_joint_l_4_3,revolute,-0.073065,0.043442,0,0,0,0,glove_link_l_4_2,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_4_4,0.00748143473038688,0.0130199092723464,-2.0674155648201E-07,0,0,0,0.00273131722903478,2.54477863099345E-07,-5.6097788023293E-08,3.20743371371583E-12,1.13241108629106E-07,4.55930707513523E-12,2.62657682701414E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_4_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_4_4.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-13.00 指尖卡座组件.3-1/指尖外壳-1;手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-13.00 指尖卡座组件.3-1/DX-V4.02-03-13-02 指尖上卡座-1,c_l_4_4,a_l_4_4,glove_joint_l_4_4,revolute,0.064965,0.0012591,0,0,0,0,glove_link_l_4_3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_5_1,0.0128683309361216,-0.000982046371459107,0.00228715176076701,0,0,0,0.00177620132491907,5.45396978480925E-08,6.10226124827595E-09,-2.55324717999507E-08,1.58003273108872E-07,2.24083049281584E-09,1.63283513933894E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_5_1.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_5_1.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-02 过渡连接杆.3-1,c_l_5_1,a_l_5_1,glove_joint_l_5_1,revolute,0.054856,0.040125,-0.01675,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_5_2,-0.0365815338182929,0.0096455748817788,0.00199031921754646,0,0,0,0.00553025431584415,5.58571667788921E-07,1.03384355568826E-06,1.85377257736789E-09,2.69792415987799E-06,-1.01262613841892E-08,3.1797290183413E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_5_2.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_5_2.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-06 小拇指连杆1.1.1.1-1;手套-左-1/数采手套-左-1/五指模组-1-1/外壳-LX1.1.1-1,c_l_5_2,a_l_5_2,glove_joint_l_5_2,revolute,0.02,0,0.0047,1.5708,1.5708,0,glove_link_l_5_1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_5_3,0.0307431725516394,0.0134326071460829,0.00280365958094659,0,0,0,0.00487954505827553,2.97085122019144E-07,-5.9451655454726E-07,-6.96628887105284E-09,2.00467192774869E-06,-3.86715609041481E-10,2.2308194738804E-06,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_5_3.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_5_3.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/外壳-LX2.1-1;手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-07 小拇指连杆2.1.1-1,c_l_5_3,a_l_5_3,glove_joint_l_5_3,revolute,-0.065037,0.025888,0,0,0,0,glove_link_l_5_2,0,0,1,0,0,-3.14,3.14,,,,,,,,
glove_link_l_5_4,0.00748143473044544,0.0130199092655535,-2.06780666665851E-07,0,0,0,0.00273131722903477,2.5447786309884E-07,-5.60977880239185E-08,3.20760222371985E-12,1.13241108629639E-07,4.55975590378006E-12,2.62657682701385E-07,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_5_4.STL,1,1,1,1,0,0,0,0,0,0,package://DexGlove_L_v4/meshes/glove_link_l_5_4.STL,,手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-13.00 指尖卡座组件.4-1/指尖外壳-1;手套-左-1/数采手套-左-1/五指模组-1-1/DX-V4.02-03-13.00 指尖卡座组件.4-1/DX-V4.02-03-13-02 指尖上卡座-1,c_l_5_4,a_l_5_4,glove_joint_l_5_4,revolute,0.056937,0.018926,0,0,0,0,glove_link_l_5_3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
